"Prebivalstvo po starosti in spolu, statistiène regije, Slovenija, polletno"

"SPOL";"STAROST";"2009H1 SLOVENIJA";"2009H2 SLOVENIJA";"2010H1 SLOVENIJA";"2010H2 SLOVENIJA";"2011H1 SLOVENIJA";"2011H2 SLOVENIJA";"2012H1 SLOVENIJA";"2012H2 SLOVENIJA";"2013H1 SLOVENIJA";"2013H2 SLOVENIJA";"2014H1 SLOVENIJA";"2014H2 SLOVENIJA";"2015H1 SLOVENIJA";"2015H2 SLOVENIJA";"2016H1 SLOVENIJA";"2016H2 SLOVENIJA";"2017H1 SLOVENIJA";"2017H2 SLOVENIJA";"2018H1 SLOVENIJA";"2018H2 SLOVENIJA";"2019H1 SLOVENIJA";"2019H2 SLOVENIJA";"2020H1 SLOVENIJA";"2020H2 SLOVENIJA"
"Moški";"14 let";10143;10038;9968;9975;10042;9914;9615;9539;9597;9440;9305;9596;9772;9476;9448;9425;9425;9428;9253;9308;9539;9710;9777;9916
"Moški";"15 let";10375;10303;10188;10068;9982;9985;10073;9953;9617;9573;9624;9461;9316;9617;9808;9506;9482;9476;9450;9458;9310;9403;9588;9770
"Moški";"16 let";10561;10643;10420;10347;10214;10096;10012;10013;10107;9960;9660;9598;9666;9493;9361;9677;9856;9540;9541;9527;9551;9579;9400;9479
"Moški";"17 let";11353;10740;10617;10659;10439;10363;10242;10108;10031;10035;10112;10019;9698;9636;9727;9551;9412;9729;9878;9568;9619;9623;9607;9631
"Moški";"18 let";11596;11628;11390;10771;10623;10676;10484;10378;10264;10135;10083;10066;10198;10082;9780;9711;9785;9588;9469;9779;9963;9655;9653;9645
"Moški";"19 let";12375;12044;11761;11705;11387;10765;10665;10695;10504;10392;10295;10159;10104;10106;10231;10147;9836;9741;9832;9650;9637;10000;10142;9825
"Moški";"20 let";13657;13074;12647;12170;11778;11715;11430;10842;10722;10770;10580;10475;10349;10222;10145;10169;10322;10279;9971;9955;10202;10118;10201;10473
"Ženske";"14 let";9777;9573;9460;9391;9388;9404;9156;8880;8895;8788;8773;8961;9159;9083;8815;8754;8847;8646;8646;8958;9182;9226;9220;9436
"Ženske";"15 let";9822;9836;9819;9614;9489;9417;9416;9429;9189;8908;8908;8794;8775;8977;9191;9109;8844;8770;8876;8701;8699;9033;9246;9288
"Ženske";"16 let";9848;9930;9865;9860;9838;9623;9508;9438;9433;9448;9194;8906;8918;8816;8812;9010;9226;9124;8859;8794;8937;8776;8780;9103
"Ženske";"17 let";10670;10025;9881;9963;9881;9871;9872;9636;9522;9449;9447;9475;9220;8928;8932;8855;8839;9036;9245;9135;8911;8858;8972;8799
"Ženske";"18 let";11016;11189;10700;10079;9919;9975;9888;9892;9874;9655;9555;9481;9481;9516;9291;8961;8962;8867;8878;9069;9286;9182;8945;8876
"Ženske";"19 let";11462;11140;11094;11235;10754;10106;9969;10008;9926;9909;9936;9715;9615;9510;9521;9569;9356;9004;9029;8918;8942;9146;9396;9258
"Ženske";"20 let";12460;11886;11577;11246;11164;11308;10831;10185;10053;10080;10025;10007;9999;9774;9662;9576;9592;9660;9433;9136;9169;9081;9171;9371
